,Ab_Debris,Ab_Others,Ab_CD3-CD16-CD19-,Ab_CD3+CD4-CD8-,Ab_CD3+CD4+CD8-,Ab_CD3+CD4-CD8+,Ab_CD3+CD4+CD8+,Ab_CD3-CD16+CD56+,Ab_CD3+CD16+CD56+,Ab_CD3-CD19+,Lymph Events,CD3+,CD3+CD4+,CD3+CD8+,CD3+CD4+CD8+,CD3-,CD16+CD56,CD19+,%T-sum,CD4/CD8 Ratio,LymphSum
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CBR_CD4_L_37C-13D,6.49958147,77.52228076,0.0,0.86661086,2.56536511,6.36171156,0.06893495,2.3782559500000002,0.0,3.73725934,0.16,61.69,16.05,39.79,0.43,0.0,14.88,23.38,4.99,0.4,99.95
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CBR_CD4_L_37C-1D,8.28628109,75.83295183,0.0,1.05803957,2.24324737,5.98707971,0.03052037,2.88926192,0.0,3.67261814,0.16,58.64,14.12,37.68,0.19,0.0,18.18,23.11,6.46,0.37,99.93
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CBR_CD4_L_37C-3D,7.82214506,76.08024691,0.0,0.99826389,2.25212191,6.5152392,0.08680556,2.72472994,0.0,3.52044753,0.16,61.17,13.98,40.45,0.54,0.0,16.92,21.86,5.66,0.35,99.95
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CBR_CD4_L_37C-7D,6.7086920899999996,77.18839688,0.0,1.0865108700000001,2.48052481,6.1295613,0.030750310000000003,2.75215252,0.0,3.6234112300000003,0.16,60.37,15.39,38.04,0.19,0.0,17.08,22.49,6.56,0.4,99.94
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CBR_CD4_L_4C,10.17274472,74.37619962000001,0.0,0.85892514,2.38963532,6.35796545,0.0,2.38003839,0.0,3.4644913600000002,0.15,62.13,15.46,41.12,0.0,0.0,15.39,22.41,5.55,0.38,99.93
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CB_CD4_L_37C-13D_1,2.19214117,80.74203978999999,0.0,0.8878171799999999,2.46615882,6.69151093,0.0,3.33205458,0.0,3.6882775299999997,0.17,58.83,14.44,39.19,0.0,0.0,19.51,21.6,5.2,0.37,99.94
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CB_CD4_L_37C-1D,8.28628109,75.83295183,0.0,1.05803957,2.24324737,5.98707971,0.03052037,2.88926192,0.0,3.67261814,0.16,58.64,14.12,37.68,0.19,0.0,18.18,23.11,6.46,0.37,99.93
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CB_CD4_L_37C-7D,6.7086920899999996,77.18839688,0.0,1.0865108700000001,2.48052481,6.1295613,0.030750310000000003,2.75215252,0.0,3.6234112300000003,0.16,60.37,15.39,38.04,0.19,0.0,17.08,22.49,6.56,0.4,99.94
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CB_CD4_L_37C-7D_1,2.50859802,80.1638681,0.0,1.16326118,2.5338863,6.94922112,0.08598017,2.54400162,0.0,4.0511834900000006,0.17,61.9,14.62,40.08,0.5,0.0,14.67,23.37,6.2,0.36,99.94
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/6CB_CD4_L_37C_13D_1,2.20310188,80.80232366999999,0.0,0.87137612,2.46615882,6.67506987,0.0,3.3046528200000003,0.0,3.6773168199999997,0.17,58.88,14.5,39.25,0.0,0.0,19.43,21.63,5.13,0.37,99.94
